Registros;Natureza;Alvos;Município;Cod IBGE;Mês ;Ano;RISP;RISP Nova;RMBH
1;Furto;Veículos;ABADIA DOS DOURADOS;310010;1;2015;10;10;NÃO
1;Furto;Veículos;ABAETE;310020;1;2015;7;7;NÃO
0;Furto;Veículos;ABRE-CAMPO;310030;1;2015;12;12;NÃO
0;Furto;Veículos;ACAIACA;310040;1;2015;12;12;NÃO
0;Furto;Veículos;ACUCENA;310050;1;2015;12;12;NÃO
1;Furto;Veículos;AGUA BOA;310060;1;2015;14;14;NÃO
1;Furto;Veículos;AGUA COMPRIDA;310070;1;2015;5;5;NÃO
0;Furto;Veículos;AGUANIL;310080;1;2015;6;6;NÃO
0;Furto;Veículos;AGUAS FORMOSAS;310090;1;2015;15;15;NÃO
0;Furto;Veículos;AGUAS VERMELHAS;310100;1;2015;15;15;NÃO
1;Furto;Veículos;AIMORES;310110;1;2015;8;8;NÃO
0;Furto;Veículos;AIURUOCA;310120;1;2015;17;17;NÃO
0;Furto;Veículos;ALAGOA;310130;1;2015;17;17;NÃO
0;Furto;Veículos;ALBERTINA;310140;1;2015;17;17;NÃO
1;Furto;Veículos;ALEM PARAIBA;310150;1;2015;4;4;NÃO
13;Furto;Veículos;ALFENAS;310160;1;2015;18;18;NÃO
1;Furto;Veículos;ALFREDO VASCONCELOS;310163;1;2015;13;13;NÃO
5;Furto;Veículos;ALMENARA;310170;1;2015;15;15;NÃO
0;Furto;Veículos;ALPERCATA;310180;1;2015;8;8;NÃO
6;Furto;Veículos;ALPINOPOLIS;310190;1;2015;18;18;NÃO
0;Furto;Veículos;ALTEROSA;310200;1;2015;18;18;NÃO
0;Furto;Veículos;ALTO CAPARAO;310205;1;2015;12;12;NÃO
0;Furto;Veículos;ALTO JEQUITIBA;315350;1;2015;12;12;NÃO
0;Furto;Veículos;ALTO RIO DOCE;310210;1;2015;13;13;NÃO
0;Furto;Veículos;ALVARENGA;310220;1;2015;8;8;NÃO
0;Furto;Veículos;ALVINOPOLIS;310230;1;2015;12;12;NÃO
0;Furto;Veículos;ALVORADA DE MINAS;310240;1;2015;14;14;NÃO
0;Furto;Veículos;AMPARO DO SERRA;310250;1;2015;12;12;NÃO
4;Furto;Veículos;ANDRADAS;310260;1;2015;18;18;NÃO
1;Furto;Veículos;ANDRELANDIA;310280;1;2015;13;13;NÃO
3;Furto;Veículos;ANGELANDIA;310285;1;2015;14;14;NÃO
0;Furto;Veículos;ANTONIO CARLOS;310290;1;2015;13;13;NÃO
0;Furto;Veículos;ANTONIO DIAS;310300;1;2015;12;12;NÃO
